experience_months,matching_skill_count,matching_skill_percent,experience_score,resume_score,role_similarity_score,shortlisted
215,5.0,38.46,100.0,56.92,38.03501129150391,1
12,5.0,41.67,8.57,31.74,42.41764068603516,1
6,2.0,25.0,4.29,18.79,50.80572509765625,1
24,4.0,28.57,17.14,25.14,51.46327209472656,1
96,4.0,30.77,68.57,42.11,48.68985366821289,1
284,12.0,31.58,100.0,52.11,43.57735061645508,1
70,9.0,56.25,50.0,54.38,47.21343231201172,1
48,1.0,14.29,34.29,20.29,21.4119815826416,1
6,3.0,13.04,4.29,10.42,54.000030517578125,1
0,9.0,40.91,0.0,28.64,44.63466262817383,0
30,1.0,4.35,21.43,9.47,33.73612594604492,1
0,1.0,20.0,0.0,14.0,26.12097930908203,0
24,4.0,28.57,17.14,25.14,51.46327209472656,1
0,11.0,68.75,0.0,48.12,50.31530380249024,0
384,5.0,50.0,100.0,65.0,38.810829162597656,1
30,9.0,39.13,21.43,33.82,19.934553146362305,1
30,6.0,66.67,21.43,53.1,20.515405654907227,1
12,3.0,30.0,8.57,23.57,49.30868148803711,1
48,1.0,14.29,34.29,20.29,21.4119815826416,1
6,2.0,25.0,4.29,18.79,50.80572509765625,1
138,11.0,47.83,98.57,63.05,49.2647705078125,1
192,12.0,75.0,100.0,82.5,47.83545684814453,1
103,11.0,78.57,73.57,77.07,34.28677749633789,1
96,2.0,28.57,68.57,40.57,36.715126037597656,1
192,12.0,75.0,100.0,82.5,47.83545684814453,1
12,13.0,33.33,8.57,25.9,38.795806884765625,1
0,5.0,41.67,0.0,29.17,43.60877990722656,0
18,6.0,75.0,12.86,56.36,39.063568115234375,1
312,7.0,53.85,100.0,67.69,49.39725875854492,1
253,9.0,42.86,100.0,60.0,32.43128204345703,1
192,12.0,75.0,100.0,82.5,47.83545684814453,1
120,3.0,30.0,85.71,46.71,48.48793029785156,1
70,9.0,56.25,50.0,54.38,47.21343231201172,1
24,2.0,12.5,17.14,13.89,39.657657623291016,1
145,6.0,15.38,100.0,40.77,47.19845199584961,1
108,11.0,28.95,77.14,43.41,40.34574890136719,1
413,7.0,63.64,100.0,74.55,22.265199661254883,1
12,1.0,11.11,8.57,10.35,28.66590690612793,1
312,7.0,53.85,100.0,67.69,49.39725875854492,1
156,9.0,81.82,100.0,87.27,8.145353317260742,1
30,2.0,28.57,21.43,26.43,35.388816833496094,1
70,9.0,56.25,50.0,54.38,47.21343231201172,1
149,13.0,59.09,100.0,71.36,38.5566520690918,1
4,3.0,42.86,2.86,30.86,31.35429573059082,1
120,4.0,50.0,85.71,60.71,51.076133728027344,1
30,6.0,33.33,21.43,29.76,33.54349899291992,1
9,4.0,18.18,6.43,14.66,40.14003372192383,1
0,2.0,28.57,0.0,20.0,19.355693817138672,0
0,3.0,21.43,0.0,15.0,38.54662704467773,0
0,10.0,43.48,0.0,30.43,58.89906311035156,0
120,4.0,50.0,85.71,60.71,51.076133728027344,1
12,2.0,22.22,8.57,18.13,41.09485626220703,1
47,10.0,38.46,33.57,36.99,14.160929679870604,1
0,2.0,28.57,0.0,20.0,19.355693817138672,0
15,2.0,20.0,10.71,17.21,36.881229400634766,1
6,2.0,22.22,4.29,16.84,47.13792037963867,1
411,13.0,59.09,100.0,71.36,46.983642578125,1
468,6.0,46.15,100.0,62.31,57.68750381469727,1
12,5.0,41.67,8.57,31.74,42.41764068603516,1
72,4.0,10.26,51.43,22.61,46.31779861450195,1
39,6.0,30.0,27.86,29.36,28.541963577270508,1
90,7.0,50.0,64.29,54.29,32.31297302246094,1
170,10.0,55.56,100.0,68.89,52.94206237792969,1
65,15.0,65.22,46.43,59.58,26.89504051208496,1
114,4.0,17.39,81.43,36.6,67.05879211425781,1
12,1.0,11.11,8.57,10.35,28.66590690612793,1
0,3.0,21.43,0.0,15.0,38.54662704467773,0
30,9.0,39.13,21.43,33.82,19.934553146362305,1
276,5.0,35.71,100.0,55.0,46.72349548339844,1
4,3.0,42.86,2.86,30.86,31.35429573059082,1
30,4.0,33.33,21.43,29.76,43.39311218261719,1
0,2.0,14.29,0.0,10.0,32.04396438598633,0
411,13.0,59.09,100.0,71.36,46.983642578125,1
198,12.0,60.0,100.0,72.0,31.238779067993164,1
12,13.0,33.33,8.57,25.9,38.795806884765625,1
76,2.0,18.18,54.29,29.01,20.30009078979492,1
188,7.0,58.33,100.0,70.83,47.42951202392578,1
100,6.0,15.79,71.43,32.48,59.68855667114258,1
138,11.0,47.83,98.57,63.05,49.2647705078125,1
24,5.0,55.56,17.14,44.03,23.999317169189453,1
24,5.0,55.56,17.14,44.03,23.999317169189453,1
0,2.0,14.29,0.0,10.0,32.04396438598633,0
0,2.0,20.0,0.0,14.0,50.86304473876953,0
12,3.0,30.0,8.57,23.57,49.30868148803711,1
98,4.0,17.39,70.0,33.17,53.72257995605469,1
138,11.0,47.83,98.57,63.05,49.2647705078125,1
312,7.0,53.85,100.0,67.69,49.39725875854492,1
0,2.0,20.0,0.0,14.0,50.86304473876953,0
96,14.0,35.9,68.57,45.7,41.28313064575195,1
70,9.0,56.25,50.0,54.38,47.21343231201172,1
138,11.0,47.83,98.57,63.05,49.2647705078125,1
618,5.0,38.46,100.0,56.92,67.69851684570312,1
239,15.0,57.69,100.0,70.38,44.65376281738281,1
18,6.0,75.0,12.86,56.36,39.063568115234375,1
188,7.0,58.33,100.0,70.83,47.42951202392578,1
413,7.0,63.64,100.0,74.55,22.265199661254883,1
284,12.0,31.58,100.0,52.11,43.57735061645508,1
12,7.0,33.33,8.57,25.9,41.34083938598633,1
0,2.0,7.69,0.0,5.38,58.77143859863281,0
239,15.0,57.69,100.0,70.38,44.65376281738281,1
0,11.0,68.75,0.0,48.12,50.31530380249024,0
48,3.0,14.29,34.29,20.29,46.2794303894043,1
541,24.0,63.16,100.0,74.21,49.44499206542969,1
30,1.0,4.35,21.43,9.47,33.73612594604492,1
15,2.0,20.0,10.71,17.21,36.881229400634766,1
90,7.0,50.0,64.29,54.29,32.31297302246094,1
24,2.0,12.5,17.14,13.89,39.657657623291016,1
30,2.0,28.57,21.43,26.43,35.388816833496094,1
156,9.0,81.82,100.0,87.27,8.145353317260742,1
144,11.0,61.11,100.0,72.78,35.0181999206543,1
6,4.0,17.39,4.29,13.46,49.68193817138672,1
0,2.0,10.0,0.0,7.0,51.4669075012207,0
12,2.0,22.22,8.57,18.13,41.09485626220703,1
48,1.0,14.29,34.29,20.29,21.4119815826416,1
30,4.0,33.33,21.43,29.76,43.39311218261719,1
188,7.0,58.33,100.0,70.83,47.42951202392578,1
41,6.0,26.09,29.29,27.05,51.92742919921875,1
0,3.0,42.86,0.0,30.0,11.49566650390625,0
0,2.0,28.57,0.0,20.0,19.355693817138672,0
0,2.0,10.0,0.0,7.0,30.619346618652344,0
47,8.0,40.0,33.57,38.07,44.57701873779297,1
198,12.0,60.0,100.0,72.0,31.238779067993164,1
12,3.0,60.0,8.57,44.57,34.16072082519531,1
0,11.0,50.0,0.0,35.0,52.63520050048828,0
0,1.0,20.0,0.0,14.0,30.808115005493164,0
82,10.0,43.48,58.57,48.01,50.74542617797852,1
18,4.0,28.57,12.86,23.86,32.314083099365234,1
65,15.0,65.22,46.43,59.58,26.89504051208496,1
0,3.0,21.43,0.0,15.0,38.54662704467773,0
234,16.0,61.54,100.0,73.08,39.85112380981445,1
276,5.0,35.71,100.0,55.0,46.72349548339844,1
72,4.0,28.57,51.43,35.43,47.463035583496094,1
0,4.0,80.0,0.0,56.0,24.43619728088379,0
84,7.0,17.95,60.0,30.56,35.24974060058594,1
